No.,Company Name,Logo/Brand,Sponsor Type,Hall,pavilion no.,Originator Country,Representatives,Basic introduction,News/Recent Outstanding Achievement/Applications and Project References,Type of Industry,Hydrogen-focused business,Website,Form of Contacts,Highlighted Info,Unknown,Source_Sheet,Img_Logo,Img_Rep,Img_NewsProj,Img_Contact,Img_Highlight
11,Aerzen Nederland B.V.,-,Exhibitor,A,52,Netherlands,-,"AERZEN was founded in 1864 as Aerzener Maschinenfabrik. In 1868, we built Europe’s first positive displacement blower. The first turbo blowers followed in 1911, the first screw compressors in 1943, and in 2010 the world’s first rotary
lobe compressor package. Innovations made by AERZEN keep driving forward the development of compressor technology. 

Today, AERZEN is among the world’s longest established and most significant manufacturers of positive displacement blowers, rotary lobe compressors, screw compressors and turbo blowers. AERZEN is among the undisputed market leaders in many areas of application.

At our 50 subsidiaries around the world, over 2,500 experienced employees are working hard to shape the future of compression technology. Their technological expertise, our international network of experts, and constant feedback we get from our customers provide the basis for our success.

AERZEN products and services set the standard in terms of reliability, stability of value and efficiency. Go ahead - challenge us. Expect Performance!","AERZEN - INNOVATIVE TECHNOLOGY
Rotary Piston Blowers
Screw Compressors
Rotary Piston Compressors
Turbo Blowers 
(Cement Industry/Biogas/Biomethane/Process Gas Technology/Maritime Industry)","Machinery Manufacturing specialised in Compressed Air, Gas and Vacuum Solutions",Hydrogen Storage tank and other forms of Pressure Vessels,"1. https://www2.aerzen.com/nl.html
2. https://www.youtube.com/user/AerzenDE
3. https://www.linkedin.com/company/aerzen-worldwide/",-,-,-,A,Aerzen Nederland BV_Logo_Image_22.png,Aerzen Nederland BV_Rep_Image_23.png,,Aerzen Nederland BV_Contact_Image_24.png,Aerzen Nederland BV_Highlight_Image_25.png
12,"AETHER CT Co., Ltd.",-,Exhibitor,E,03A,South Korea,-,"DS Aether CT Co., Ltd. May 2020 and reborn as a professional jumbo tube vessel manufacturer.
In the past 30 years, we have accumulated and developed high pressured gas vessel manufacturing technologies and knowhow.
We cover various industrial fields such as semiconductor gas, hydrogen, natural gas and industrial gas transportation & storage systems.

As a ‘World-Class Product of Korea’ company, certified by the Korean government, we are positioning ourselves as a world-class high-pressure vessel maker for the international market.
Based on the belief that ‘Energies’ and ‘Values’ can be ‘Safely’ stored in the highest quality products, we will grow into a trusted company in the global market.","Transportation: Industrial Gas Tube Skids/
CNG Tube Skids/IMDG Tube Skids
Hydrogen: Tube Trailers/ISO Tube Skids/Storages
ASME Storage Vessels & Ton Tanks
Cvomposite: Highe-Pressure Tank/ Tube Skid
H2 Power Rack: Air-Cooled Type & Water-Cooled Type",High Pressure Vessel Maker Certified by Korean Government,Hydrogen Storage tank and other forms of Pressure Vessels,http://www.dsaetherct.com/,"Street Address
113, Noksansandan 17-ro, Gangseo-gu, Busan, Korea, 46751
Gangseo-gu
Busan
46751",-,-,A,AETHER CT Co Ltd_Logo_Image_26.png,AETHER CT Co Ltd_Rep_Image_27.png,,,AETHER CT Co Ltd_Highlight_Image_28.png
13,African Hydrogen Partnership (AHP),-,Exhibitor,C,120,Africa,-,"The African Hydrogen Partnership Trade Association (AHP) is a non-profit trade association. It is the only continent-wide African umbrella association solely dedicated to the development of green and natural (native) hydrogen, hydrogen based chemicals, fuel cell technology and related business opportunities in Africa.

The AHP represents the whole African continent and all African nations. In order to form the strongest possible international alliance for utilizing Africa's hydrogen potential and creating green wealth, organizations from anywhere in the world are welcome to join the AHP. The AHP is a diverse, international and democratic African organization governed by its members. The African Hydrogen Partnership Trade Association (AHP) is incorporated as a non-profit Private Company Limited by Guarantee (Company No. 176378) in the Republic of Mauritius, a non-aligned country ideal for building constructive relationships across the entire continent - and bringing the Arabic North and Sub-Saharan African countries together.","The African Hydrogen Partnership
The African Hydrogen Partnership (AHP) is a member of a number of relevant Associations who have matching objectives.
",A non-profit trade association,Energy Trading Organization and/or Finance Institution,https://ahp.africa/,-,-,-,A,African Hydrogen Partnership AHP_Logo_Image_29.png,African Hydrogen Partnership AHP_Rep_Image_30.png,,African Hydrogen Partnership AHP_Contact_Image_31.png,
14,Agder H2 Cluster,-,Exhibitor,D,122e,Norway,-,"A network of companies, research institutions, and public sector actors in the Agder region of Norway that are working together to promote the development of a hydrogen economy. They are focused on advancing the use of hydrogen as a clean and sustainable energy source for various applications, such as transportation, industry, and energy storage.","1. https://h2cluster.com/calendar/marketmeetup231214
2. https://www.thisisagder.no/varbusiness/varbusiness/aktuelt/talking-hydrogen-in-brussels
","A network of companies, research institutions, and public sector actors in the Agder region of Norway",Academic or Research Institution,https://www.agderh2.no/,-,-,-,A,Agder H2 Cluster_Logo_Image_32.png,,,Agder H2 Cluster_Contact_Image_33.png,
15,Air Products,-,Host Sponsors,B,32,United States,-,"Air Products is a world-leading industrial gases company in operation for over 80 years focused on serving energy, environmental, and emerging markets. The Company has two growth pillars driven by sustainability. Air Products’ base business provides essential industrial gases, related equipment and applications expertise to customers in dozens of industries, including refining, chemicals, metals, electronics, manufacturing, and food. The Company also develops, engineers, builds, owns and operates some of the world's largest industrial gas and carbon-capture projects, supplying world-scale clean hydrogen for global transportation, industrial markets, and the broader energy transition. Additionally, Air Products is the world leader in the supply of liquefied natural gas process technology and equipment, and globally ­provides turbomachinery, membrane systems and cryogenic containers.",-,"Industrial gas, chemicals",Hydrogen Storage tank and other forms of Pressure Vessels,https://www.airproducts.com/,-,-,-,A,Air Products_Logo_Image_34.png,Air Products_Rep_Image_35.png,Air Products_NewsProj_Image_36.png,Air Products_Contact_Image_37.png,Air Products_Highlight_Image_38.png
16,Akubat Asociace,-,Exhibitor,-,-,Czech Republic,-,"AKU-BAT CZ, z.s. is an association bringing together the most important actors active in the field of energy storage.

The diversity of the association’s members determines our comprehensive view on energy storage as a whole. 

The members of our association are multinational energy companies, international and domestic battery manufacturers, the most important players in the renewable energy field, prestigious banks, universities, research institutions, associations, industrial companies, energy consulting companies and law firms.

We are a founding member of the Union of Modern Energy (Svaz moderní energetiky). Jan Fousek, CEO of AKU-BAT CZ, is a member of the Union´s board of directors.","As the very first association of its kind in the region of Central and Eastern Europe, AKU-BAT CZ was created in response to the current boom in the development of renewable energy sources, which has resulted in the need to efficiently accumulate electric power.",Smart Management of PV Systems and Battery Systems in Households,EPC and/or Engineering Services and Consulting Firms,"https://www.akubat-asociace.cz/
",-,-,-,A,Akubat Asociace_Logo_Image_39.png,,,Akubat Asociace_Contact_Image_40.png,
17,Alberta Industrial Heartland Assoc,-,Exhibitor,E,02T,Canada,-,"Alberta’s Industrial Heartland is one of the world’s most attractive locations for chemical, petrochemical, oil, and gas investment. As Canada’s largest hydrocarbon processing region, we’re making history enabling diversification at the intersection of economic resiliency and environmental leadership. With $45+ billion in existing capital investment and more than 40 companies, we are providing fuels, fertilizers, power, petrochemicals and more to provincial and global consumers.",- World's largest CO2 pipeline,"chemical, petrochemical, oil, and gas investment",H2 Business developer &  Investor,https://industrialheartland.com/,-,-,-,A,Alberta Industrial Heartland Assoc_Logo_Image_41.png,,,Alberta Industrial Heartland Assoc_Contact_Image_42.png,
18,Alfa Laval Technologies AB,-,Exhibitor,C,106,Sweden,-,"Alfa Laval is a heavy industry company that focuses on the large-scale operations, such as the Marine, Energy, Food & Water industries.",-,"Marine, Energy, Food & Water industries.",EPC and/or Engineering Services and Consulting Firms,"https://www.alfalaval.com/about-us/our-company/
",-,-,-,A,Alfa Laval Technologies AB_Logo_Image_43.png,Alfa Laval Technologies AB_Rep_Image_44.png,Alfa Laval Technologies AB_NewsProj_Image_45.png,Alfa Laval Technologies AB_Contact_Image_46.png,Alfa Laval Technologies AB_Highlight_Image_47.png
19,Allesoverwaterstof,-,Exhibitor,D,100,Netherlands,-,"We are Erwin Geurts and Frank Mietes, two hydrogen pioneers. Our background is change management, technical and financial. We use these areas of expertise for our customers of Everything about Hydrogen. With this we want to strengthen the social emphasis of the energy transition to a sustainable world.","-HydroCargo 'Last Mile' cargo bike
https://allesoverwaterstof.nl/hydrocargo/
- HydroRange Hydrogen Range Extender
https://allesoverwaterstof.nl/hydrorange/
- HydroFillup Hydrogen filling installation
https://allesoverwaterstof.nl/hydrofillup/","change management, technical and financial/ Hydrogen Learning Community (Course and Workshop)",Energy Trading Organization and/or Finance Institution,https://allesoverwaterstof.nl/,https://allesoverwaterstof.nl/contact/,-,-,A,Allesoverwaterstof_Logo_Image_48.png,,,,Allesoverwaterstof_Highlight_Image_49.png
20,"
Alphatec Engineering",-,Exhibitor,E,36,Japan,-,"Alphatec Engineering provides high-end products and services that improve the quality of critical machinery concrete foundations across a broad range of industrial markets around the world. Our services also include the installation of new machinery.

The Alphatec Group was established in 1977. It began as a partnership between two individuals interested in solving machinery foundation problems. Since then it has grown internationally, and has successfully completed more than 4,000 contracts in 57 countries!",https://alphatec-engineering.com/success-cases/,"Solving Heavy Machinery  for new installation, and  field-service repair (Especially grouting and foundation of heavy storage tanks) 
(Supplied for Cement/Petro&Chemical/Oil & Gas/Metal & Steel Mills/Gas Storage/Mining/RE/Etc.)",Hydrogen Storage tank and other forms of Pressure Vessels,-,-,-,-,A,Alphatec Engineering_Logo_Image_50.png,Alphatec Engineering_Rep_Image_51.png,,Alphatec Engineering_Contact_Image_52.png,
21,Ammonia Energy Asscoiation,-,Exhibitor,D,100,United States,-,"AEA Conferences provide its members with the opportunity to collaborate, learn and share information, and together accelerate the responsible adoption of ammonia in a sustainable economy.",-,Association/ Webinar/ Articles/Conferences/Presentation/Certification about Ammonia,Conference Organizer/ Event Advertiser/Journalism/,https://ammoniaenergy.org/,-,-,-,A,Ammonia Energy Asscoiation_Logo_Image_53.png,,,,Ammonia Energy Asscoiation_Highlight_Image_54.png
22,Amnis Pura,-,Exhibitor,D,78,Portugal,-,"Amnis Pura provides gas purification solutions based on Pressure Swing Adsorption technology, with particular focus on hydrogen production","1. GAMMA: Green Ammonia and Biomethanol fuel Maritime Vessels
2. M-eco2: industrial cluster for the production of advanced biofuels
3. The “Baterias 2030” project
See: https://amnispura.com/projects-gas-purification/
",Gas purification solutions based on Pressure Swing Adsorption technology,Hydrogen Production Equipment Manaufacturers and its apparatus,https://amnispura.com/,-,-,-,A,Amnis Pura_Logo_Image_55.png,Amnis Pura_Rep_Image_56.png,,Amnis Pura_Contact_Image_57.png,Amnis Pura_Highlight_Image_58.png
23,Andritz AG,-,Exhibitor,A,104,Austria,-,"ANDRITZ is a globally leading supplier of plants, equipment, automation solutions and services for hydropower stations, the pulp and paper industry, the metalworking and steel industries, as well as environmental and green energy-focused sectors.
ANDRITZ is a global market leader in all four of its business areas – Pulp & Paper, Metals, Hydropower and Environment & Energy. Technological leadership and global presence are cornerstones of the group’s strategy, which is focused on long-term profitable growth.",-,"Engineering, Oil & Gas, Hydro Power, Paper mills",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.andritz.com/group-en,Website; Tel: +43 316 6902 0; E: welcome@andritz.com; https://www.youtube.com/c/AndritzGroup,-,-,A,Andritz AG_Logo_Image_59.png,Andritz AG_Rep_Image_60.png,Andritz AG_NewsProj_Image_61.png,,Andritz AG_Highlight_Image_62.png
24,Angst+Pfister GmbH,-,Exhibitor,C,82c,Switzerland,-,"Angst+Pfister has been a leading innovation development partner for technical components and engineering solutions for over a hundred years, primarily in the areas of elastomeric and rubber-metal parts and compounds.",-,"Engineering, Elastomeric, Rubber-metal, Compound",Green Field of Energy/ Start-up/Innovative Technology/AI Technology ,https://www.angst-pfister.com/de/,Website; Tel: +43 316 6902 0; E: welcome@andritz.com; https://www.youtube.com/c/AndritzGroup; https://www.linkedin.com/company/angst-pfister/; https://de-de.facebook.com/AngstUndPfister/,-,-,A,AngstPfister GmbH_Logo_Image_63.png,AngstPfister GmbH_Rep_Image_64.png,AngstPfister GmbH_NewsProj_Image_65.png,,AngstPfister GmbH_Highlight_Image_66.png
25,Ansys UK Ltd,-,Exhibitor,E,28,United States,-," Ansys software has enabled innovators across industries to push boundaries with the predictive power of simulation. From sustainable transportation and advanced semiconductors, to satellite systems and life-saving medical devices, the next great leaps in human advancement will be powered by Ansys.",-,"Engineering, Software Simulation",Green Field of Energy/ Start-up/Innovative Technology/AI Technology ,https://www.ansys.com/en-gb,Website; Tel: 844-462-6797; https://www.facebook.com/Ansys/; https://twitter.com/ansys; https://www.linkedin.com/company/ansys-inc,-,-,A,Ansys UK Ltd_Logo_Image_67.png,Ansys UK Ltd_Rep_Image_68.png,Ansys UK Ltd_NewsProj_Image_69.png,,Ansys UK Ltd_Highlight_Image_70.png
26,ANTONIUS,-,Exhibitor,B,86,Netherlands,-,"At Antonius, we have been expanding our engineering and project management capacity to be able to fully support our customers from their development process on. We provide the manufacturing expertise necessary for the development of manufacturable products. Products that can actually be manufactured in the correct timeframe and for a competitive cost.

Our experience with manufacturing large and complex metal shapes and assembled products makes us the ideal partner for companies that lack internal manufacturing expertise or capacity.",-,"Manufacturer, Metal Part",Hydrogen Production Equipment Manaufacturers and its apparatus,https://antonius.nl/,Website; Tel: +31(0)475 439 000; E: ales@antonius.nl,-,-,A,ANTONIUS_Logo_Image_71.png,ANTONIUS_Rep_Image_72.png,ANTONIUS_NewsProj_Image_73.png,,ANTONIUS_Highlight_Image_74.png
27,Apex-Brasil,-,Exhibitor,D,72,Brazil,-,"ApexBrasil, short for the Brazilian Trade and Investment Promotion Agency, is a governmental entity responsible for promoting Brazilian exports and attracting foreign investments. With a strategic focus on fostering economic growth and sustainability, ApexBrasil plays a pivotal role in positioning Brazil as a key player in the global market for hydrogen and renewable energies.
Emphasizing its commitment to sustainable development, ApexBrasil actively promotes Brazil's abundant renewable energy resources, including solar, wind, and hydropower, as well as emerging technologies like hydrogen. Leveraging Brazil's vast natural assets and technological innovation, ApexBrasil showcases investment opportunities in the renewable energy sector, highlighting the country's potential to become a leading supplier of clean energy solutions.",-,"Government,  Investment Agency, Business & Renewable Energy",Government Agency/Representative/Policy Maker,https://investinbrasil.com.br/,Website; E: apexbrasil@apexbrasil.com.br; https://twitter.com/apexbrasil; https://www.linkedin.com/company/apexbrasil/,-,-,A,Apex-Brasil_Logo_Image_75.png,Apex-Brasil_Rep_Image_76.png,Apex-Brasil_NewsProj_Image_77.png,,Apex-Brasil_Highlight_Image_78.png
28,Arena H2 Cluster,-,Exhibitor,D,122r,Norway,-,"H2Cluster – The Norwegian Hydrogen Cluster is a national hydrogen cluster, powered by Kjeller Innovasjon. We aim to maximise the national and global business opportunities with the most ambitious Norwegian hydrogen players.",-,"Business, Hydrogen",H2 Business developer &  Investor,https://h2cluster.com/,Website; Tel:; https://www.linkedin.com/company/h2cluster/,-,-,A,Arena H2 Cluster_Logo_Image_79.png,,Arena H2 Cluster_NewsProj_Image_80.png,,Arena H2 Cluster_Highlight_Image_81.png
29,Arena Pro,-,Exhibitor,D,122s,Australia,-,"ARENA is the Australian Renewable Energy Agency.
We were established by the Australian Government on 1 July 2012.
We support the global transition to net zero emissions by accelerating the pace of pre-commercial innovation, to the benefit of Australian consumers, businesses and workers.
Our purpose is to support improvements in the competitiveness and supply of renewable energy and the uptake of energy efficiency and electrification by providing financial assistance and sharing knowledge, to accelerate innovation that benefits all Australians, and facilitates the achievement of Australia’s greenhouse gas emissions targets.",-,Government agency,Government Agency/Representative/Policy Maker,https://arena.gov.au/,Website; Tel: +61 1800 804 838; media@arena.gov.au; https://www.facebook.com/arenagovau/; https://twitter.com/arenagovau; https://www.linkedin.com/company/arenagovau/,-,-,A,Arena Pro_Logo_Image_82.png,,Arena Pro_NewsProj_Image_83.png,,Arena Pro_Highlight_Image_84.png
30,Argus Media,-,Exhibitor,E,117,United Kingdom,-,"Argus is an independent provider of price information, consultancy services, conferences, market data and business intelligence for the global petroleum, natural gas, electricity, emissions, biofuels, biomass, LPG, metals, chemicals, fertilizers, agriculture and coal industries.",-,"News, Energy & Commodity",Conference Organizer/ Event Advertiser/Journalism/,https://www.argusmedia.com/en,Website; Tel: + 44 (0) 20 7780 4200; london@argusmedia.com; https://twitter.com/argusmedia; https://www.facebook.com/ArgusMedia,-,-,A,Argus Media_Logo_Image_85.png,Argus Media_Rep_Image_86.png,Argus Media_NewsProj_Image_87.png,,Argus Media_Highlight_Image_88.png
31,Atlas Copco,-,Exhibitor,A,62,Sweden,-,"The Atlas Copco Group is a global industrial group of companies headquartered in Nacka, Sweden. Atlas Copco companies develop, manufacture, service, and rent industrial tools, air compressors (of which it is the world's leading producer), construction and assembly systems. The Group operates in four areas: Compressor Technology, Vacuum Technology, Power Technology and Industrial Technology.",-,"Manufacturer, Air Compressure, Air Purification",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.atlascopco.com/,Website; Tel: +44 (0 ) 845 601 0001; E: uk.enquiries@uk.atlascopco.com; https://www.facebook.com/atlascopco/; https://twitter.com/atlascopcogroup; ,-,-,A,Atlas Copco_Logo_Image_89.png,Atlas Copco_Rep_Image_90.png,Atlas Copco_NewsProj_Image_91.png,,Atlas Copco_Highlight_Image_92.png
32,AUCOTEC AG,-,Exhibitor,B,84,Germany,-,"Providing you with the engineering software today for the digital transformation of tomorrow - this is what drives us. With our unique engineering solutions, we make our customers future-proof.",-,"Engineering, Software Analysis",Green Field of Energy/ Start-up/Innovative Technology/AI Technology ,https://www.aucotec.com/en/,Website; https://www.linkedin.com/company/aucotec-ag?trk=company_logo;  ,-,-,A,AUCOTEC AG_Logo_Image_93.png,AUCOTEC AG_Rep_Image_94.png,AUCOTEC AG_NewsProj_Image_95.png,,AUCOTEC AG_Highlight_Image_96.png
33,Australian Hydrogen Council,-,Exhibitor,D,100,Australia,-,"The Australian Hydrogen Council is the peak body for the hydrogen industry, with members from across the hydrogen value chain.",-,"Counsil, Hydrogen",H2 Community/ Professional Association,https://h2council.com.au/,Website; media@h2council.com.au; https://twitter.com/AusHydCouncil; https://au.linkedin.com/company/australian-hydrogen-council; ,-,-,A,Australian Hydrogen Council_Logo_Image_97.png,,Australian Hydrogen Council_NewsProj_Image_98.png,,Australian Hydrogen Council_Highlight_Image_99.png
34,Australian Trade & Investment Commission (Austrade),-,Bronze Sponsors,C,68,Australia,-,The Australian Trade and Investment Commission (Austrade) is Australia’s federal trade and investment agency. We work to accelerate the growth of exports and attract productive foreign direct investment.,-,"Government,  Investment Agency, Business",Government Agency/Representative/Policy Maker,https://www.austrade.gov.au/,Website; Tel: +61 2 9392 2873.; E: media@austrade.gov.au; https://www.linkedin.com/company/australian-trade-commission; https://twitter.com/Austrade,-,-,A,Australian Trade  Investment Commission Austrade_Logo_Image_100.png,Australian Trade  Investment Commission Austrade_Rep_Image_101.png,Australian Trade  Investment Commission Austrade_NewsProj_Image_102.png,,Australian Trade  Investment Commission Austrade_Highlight_Image_103.png
